author_id,target_type,target_id,target,context,rating,content,status,is_historical,instructor,term,course_code,source_row,source_column,source_workbook
legacy:f9ef74df6d39a2c28a3350501f1a4a9ea843b6a2,course,cuhksz_course_chi4001,CHI4001（课程名称待补充）,"Jin, Jia · 历史评价（学期未注明）",,给分一般,published,True,"Jin, Jia",历史评价（学期未注明）,CHI4001,24,G,课程评价.xlsx
legacy:d9fcc1f46c4536bb1b28573a1f303f116056c832,course,cuhksz_course_chi4001,CHI4001（课程名称待补充）,"Jin, Jia · 历史评价（学期未注明）",,暑课太卷了，不适合不爱发言的同学，慎重选择吧,published,True,"Jin, Jia",历史评价（学期未注明）,CHI4001,24,H,课程评价.xlsx
legacy:e092ad18737e38186d14aa58c09d607b36517e12,course,cuhksz_course_chi4001,CHI4001（课程名称待补充）,"Jin, Jia · 历史评价（学期未注明）",,老师又美又温柔，给分也很nice，推推推,published,True,"Jin, Jia",历史评价（学期未注明）,CHI4001,24,K,课程评价.xlsx
legacy:14926e8e820e40006d8805df1136bcbc4ed3af70,course,cuhksz_course_chm1001,普通化学,Tiankai CHEN · 历史评价（学期未注明）,,阳光开朗大男孩 人很好 邮件回得也相对及时,published,True,Tiankai CHEN,历史评价（学期未注明）,CHM1001,25,D,课程评价.xlsx
legacy:eff3759dcfb0f31ceed2a81e333d57ed9061e480,course,cuhksz_course_chm1001,普通化学,未注明教师 · 历史评价（学期未注明）,,推荐一下老师,published,True,未注明教师,历史评价（学期未注明）,CHM1001,26,C,课程评价.xlsx
legacy:cc95274e92a589a16dd56f2f570af76a67fdb4a3,course,cuhksz_course_chm1001,普通化学,未注明教师 · 历史评价（学期未注明）,,朱贺！！！人特别好讲的也特别好！！冲！！！,published,True,未注明教师,历史评价（学期未注明）,CHM1001,26,D,课程评价.xlsx
legacy:dccf796334946b1cb06e9e047210be8741c8a490,course,cuhksz_course_csc1001,计算机科学导论：程序设计方法,He Pinjia · 历史评价（学期未注明）,,人帅讲的也很细致！,published,True,He Pinjia,历史评价（学期未注明）,CSC1001,28,C,课程评价.xlsx
legacy:8bd536e18a2e509eff65f34817e4b96a6f49d0a3,course,cuhksz_course_csc1001,计算机科学导论：程序设计方法,He Pinjia · 历史评价（学期未注明）,,永爱。 同上，hepinjia一生推！,published,True,He Pinjia,历史评价（学期未注明）,CSC1001,28,D,课程评价.xlsx
legacy:21a9b75bbe76cd619bd2c226d3103ed96bced16c,course,cuhksz_course_csc1001,计算机科学导论：程序设计方法,He Pinjia · 历史评价（学期未注明）,,讲得还可以，会很耐心地给同学解答问题，基础弱的可以上他的课！,published,True,He Pinjia,历史评价（学期未注明）,CSC1001,28,F,课程评价.xlsx
legacy:97d3050b3b638a0b824adbafdfb1540efb6b13a2,course,cuhksz_course_csc1001,计算机科学导论：程序设计方法,Zhao Junhua · 历史评价（学期未注明）,,赵俊华yyds各方面没得挑,published,True,Zhao Junhua,历史评价（学期未注明）,CSC1001,30,D,课程评价.xlsx
