courseCode,instructor,term,school
GEC2114,Yong Chang Peng,历史评价（学期未注明）,人文社科学院
GEC2115,Hanna,历史评价（学期未注明）,人文社科学院
GEC2201,Thomas CARROLL,历史评价（学期未注明）,通识教育
GEC2206,"Song, Xinning",历史评价（学期未注明）,人文社科学院
GEC2404,Ningxin Wang,历史评价（学期未注明）,人文社科学院
GEC3102,未注明教师,历史评价（学期未注明）,通识教育
GEC3108,LV Chentong,历史评价（学期未注明）,人文社科学院
GEC3109,张缪斯,历史评价（学期未注明）,人文社科学院
GEC3111,Yang Yanni,历史评价（学期未注明）,人文社科学院
GEC3203,Wai Hang YEE,历史评价（学期未注明）,人文社科学院
GEC3401,Boucher Aurelien,历史评价（学期未注明）,人文社科学院
GEC3402,Li xiaoyu,历史评价（学期未注明）,通识教育
GEC3403,"Ghosh, Gautam",历史评价（学期未注明）,通识教育
GEC3407,"Li, Xue Shi",历史评价（学期未注明）,人文社科学院
GED2003,"Han, Yuchen",历史评价（学期未注明）,人文社科学院
GED2104,"Scripter, Lucas",历史评价（学期未注明）,人文社科学院
GED2110,Wang Qin,历史评价（学期未注明）,人文社科学院
GED2116,BAI Zongrang,历史评价（学期未注明）,人文社科学院
GED2118,未注明教师,历史评价（学期未注明）,人文社科学院
GED2121,John Robert Williams,历史评价（学期未注明）,通识教育
GED2122,Kluz Christopher,历史评价（学期未注明）,通识教育
GED2302,Michael Geoffrey SALTER,历史评价（学期未注明）,人文社科学院
GED2401,"Qin, Wang",历史评价（学期未注明）,通识教育
GED2402,未注明教师,历史评价（学期未注明）,人文社科学院
GED3102,LV Chentong,历史评价（学期未注明）,人文社科学院
GED3309,"Liu, Kuanyen",历史评价（学期未注明）,人文社科学院
GFH1000,未注明教师,历史评价（学期未注明）,人文社科学院
GFH1000,Christopher Kluz,历史评价（学期未注明）,人文社科学院
GFH1000,Corinne Doria,历史评价（学期未注明）,人文社科学院
GFH1000,John Robert William,历史评价（学期未注明）,人文社科学院
GFH1000,"Liu, Kuanyen",历史评价（学期未注明）,人文社科学院
GFH1000,"Qin, Wang",历史评价（学期未注明）,人文社科学院
GFN1000,未注明教师,历史评价（学期未注明）,人文社科学院
GFN1000,邹婧,历史评价（学期未注明）,人文社科学院
GFN1000,Cao Bei,历史评价（学期未注明）,人文社科学院
GFN1000,Hanyu MA,历史评价（学期未注明）,人文社科学院
GFN1000,Honghui Zhang,历史评价（学期未注明）,人文社科学院
GFN1000,Lifang Peng,历史评价（学期未注明）,人文社科学院
GFN1000,Lili JIANG,历史评价（学期未注明）,人文社科学院
GFN1000,linqingzhou,历史评价（学期未注明）,人文社科学院
GFN1000,"Liu, Guanyan",历史评价（学期未注明）,人文社科学院
GFN1000,Liuying,历史评价（学期未注明）,人文社科学院
GFN1000,Miaosi ZHANG,历史评价（学期未注明）,人文社科学院
GFN1000,wailing law,历史评价（学期未注明）,人文社科学院
GFN1000,Xuran Zuo,历史评价（学期未注明）,人文社科学院
HSS1006,Xue Shi Li,历史评价（学期未注明）,人文社科学院
HSS1006,Yiyue ，HUANGFU,历史评价（学期未注明）,人文社科学院
HSS1009,Yu WANG,历史评价（学期未注明）,人文社科学院
ITE1000,陈奕含,历史评价（学期未注明）,人文社科学院
ITE1000,"LIAO, Ruizhi",历史评价（学期未注明）,人文社科学院
ITE1000,Lin Yongqian,历史评价（学期未注明）,人文社科学院
ITE1000,"Wilson, Woon",历史评价（学期未注明）,人文社科学院
ITE1000,yun tianheng,历史评价（学期未注明）,人文社科学院
MAT1001,甘培润pooiyuenkam,历史评价（学期未注明）,理工学院
MAT1001,"唐晓莹 Tang, Xiao Ying",历史评价（学期未注明）,理工学院
MAT1001,Clement,历史评价（学期未注明）,理工学院
MAT1001,Clement Ho Cheung Leung,历史评价（学期未注明）,理工学院
MAT1001,Liu Yang,历史评价（学期未注明）,理工学院
MAT1001,Mario Huang,历史评价（学期未注明）,理工学院
MAT1001,Xuefeng，Wang,历史评价（学期未注明）,理工学院
MAT1002,"CHEN, Yuan",历史评价（学期未注明）,理工学院
MAT1002,"Gong, Shihua",历史评价（学期未注明）,理工学院
MAT1002,"HUANG, Mario",历史评价（学期未注明）,理工学院
MAT1002,Liu，Xiaokai,历史评价（学期未注明）,理工学院
MAT1002,"RAO, Guang",历史评价（学期未注明）,理工学院
MAT1011,未注明教师,历史评价（学期未注明）,理工学院
MAT2002,"Hu, Shengqing",历史评价（学期未注明）,理工学院
